NOM ÉTABLISSEMENT,CATÉGORIES,TAGS,ADRESSE,VILLE,CP,RÉGION,Pays,Accroche,Description,COVER IMG,Logo,Web,Facebook,Instagram,Contact,Téléphone,
Furry & Puppy Lyon,Associations,,Lyon,Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/furry-puppy-lyon/main.jpg,https://www.furrylyon.com,,https://www.instagram.com/furrylyon/,,,
GearFox,Associations,,"Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,Rassemblement social dans un esprit convivial entre gearheads mâles (adultes) francophones,,https://data.strobomag.com/assets/businesses/gearfox/main.jpg,https://www.gearfox.fr,https://www.facebook.com/gear.fox.france,,contact@gearfox.fr,336037336262,
Grizzlyon,Associations,,"19 rue des Capucins, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/grizzlyon/main.jpg,https://www.grrrizzlyon.fr,https://www.facebook.com/GrrrizzLyon/,,contact@Grrrizzlyon.fr,,
L'Autre Cercle - Antenne Rhône Alpes,Associations,,"19, Rue des Capucins, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"L’Autre Cercle, créé il y a une quinzaine d’années, est une association qui regroupe plus de 500 adhérents répartis entre différentes délégations régionales et une fédération nationale. Son objectif principal est la lutte contre les discriminations liées à l’orientation sexuelle et à l’identité de genre dans le monde du travail. La fédération est composée de différents pôles de travail comme l’observatoire, le pôle international, le pôle juridique, le pôle double discrimination et enfin le pôle formation qui forme les jeunes adhérents, s’ils le souhaitent, et accompagne les entreprises dans la lutte contre les discriminations au travail.",,https://data.strobomag.com/assets/businesses/lautre-cercle-antenne-rhone-alpes/main.jpg,https://www.autrecercle.org/rhone-alpes,https://www.facebook.com/autrecercle.rhonealpes,,info.rhonealpes@autrecercle.org,,
Prostboyz,Associations,,"5, Quai André Lassagne, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,Association de santé communautaire avec et pour les travailleurs-ses du sexe,,https://data.strobomag.com/assets/businesses/prostboyz/main.jpg,https://www.prostboyz.org,,,,478300265,
Rando's Rhône-Alpes,Associations,,"19, Rue des Capucins, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"Des randonnées et activités de montagne tout au long de l’année, Des moments conviviaux, de la détente, de l’amitié...",,https://data.strobomag.com/assets/businesses/randos-rhone-alpes/main.jpg,https://www.randos-rhone-alpes.org,https://www.facebook.com/Randos-Rhone-Alpes-898739386844956,,randos.rhone-alpes@laposte.net,624799458,
SOS homophobie - délégation Lyon,Associations,,"19, Rue des Capucins, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"Association nationale qui lutte contre la lesbophobie, la gayphobie, la biphobie, la transphobie et l'intersexophobie et milite pour l'égalité des droits.",,https://data.strobomag.com/assets/businesses/sos-homophobie-delegation-lyon/dwRc8as5wQm.jpg,https://www.sos-homophobie.org,https://www.facebook.com/SOShLyon/,,sos-lyon@sos-homophobie.org,148064241,
Collectif lesbien lyonnais,Associations,,,Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/collectif-lesbien-lyonnais/main.jpg,,https://www.facebook.com/LyonC2L,,,,
Broc bar,Bars,,"20, Rue Lanterne, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/broc-bar/main.jpg,,https://www.facebook.com/LeBrocBar,,lebrocbar@yahoo.fr,478308261,
Etoile Opéra,Bars,,"26, Rue de l'Arbre Sec, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/etoile-opera/main.jpg,,https://www.facebook.com/profile.php?id=100086059117002,,letoileopera.lyon@gmail.com,967298584,
It bar,Bars,,"20 bis, Montée Saint-Sébastien, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/it-bar/main.jpg,,https://www.facebook.com/itbarlyon/,,,630108969,
Cap Opéra,Bars,,"2 place Louis Pradel, 69001 Lyon",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"Karaoke on Thu. Theme nights. Gay and lesbian mixed crowd. Parking available. Outdoor seating, terrace or garden. Shows or other events.",,0,https://www.facebook.com/capopera,https://www.facebook.com/capopera,,,33472076155,
Le Broc Bar,Bars,,"20 rue Lanterne, 69001 Lyon",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"Very popular bar with terrace. Breakfast, aperitif and cocktail. Nice atmosphere. Eric, the owner is great!",,0,https://www.facebook.com/LeBrocBar,https://www.facebook.com/LeBrocBar,,,,
Lucky Records Lyon,Boutiques,,"Quai de la Pêcherie, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/lucky-records-lyon/main.jpg,,,,,749466260,
Le Trou,Cruising,,"6, rue Romarin, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"Tarif -26 ans 7€. Équipements : wifi gratuit, fumoir intérieur, cabines de douches, casier avec cadenas",,https://data.strobomag.com/assets/businesses/le-trou/main.jpg,https://www.letrou.fr,https://www.facebook.com/LE-TROU-LYON-139349780084796,,lucb.letrou@gmail.com,954604065,
L bar food & drink,Restaurants,,"19, Rue du Garet, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/l-bar-food-drink/main.jpg,,https://www.facebook.com/Lbarfoodanddrink,https://www.instagram.com/lbar_food_drink,,478278318,
Les Platanes,Restaurants,,"10, Place du Lieutenant Morel, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/les-platanes/main.jpg,https://www.lesplataneslyon.fr/fr,https://www.facebook.com/lesplataneslyon,,,786795121,
Ultimo,Restaurants,,"4, Rue Giuseppe Verdi, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/ultimo/main.jpg,https://www.ultimolyon.fr,https://www.facebook.com/ultimolyon,,Ultimolyon@gmail.com,,
Barocco,Restaurants,,"13, Rue du Garet, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/barocco/main.jpg,https://www.barocco-restaurant-lyon.fr,https://www.facebook.com/barocco.restaurant.lyon,,,478276230,
Griffon,Santé & Prévention,,"23, Rue des Capucins, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,Centre de santé sexuelle communautaire,,https://data.strobomag.com/assets/businesses/griffon/main.jpg,https://www.c2s-legriffon.fr,https://www.facebook.com/Le.Griffon.C2S/,https://www.instagram.com/legriffon.lyon/,bonjour@c2s-legriffon.fr,428290487,
Oasis sauna,Saunas,,"2 rue Coustou, Lyon, 69001",Lyon,69001,Auvergne‑Rhône‑Alpes,France,,"Sauna strictement gay aux jours et horaires indiqués, mixte le vendredi soir, hétéro les autres jours. Tarif -25 ans 14€. Équipements : fumoir intérieur, douches, cabines de douches, casier avec cadenas, vestiaires.",,https://data.strobomag.com/assets/businesses/oasis-sauna/main.jpg,https://www.oasisclubsauna.fr,https://www.facebook.com/OasisClubSauna,,oasisclubsauna@hotmail.com,469603914,
La Chapelle café,Bars,,"8, Quai des Célestins, Lyon, 69002",Lyon,69002,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/la-chapelle-cafe/qt5P4tPa2-k.jpg,,https://www.facebook.com/chapellecafelyon/,,Lachapellecafe@gmail.com,472561192,
XS bar,Bars,,"19, Rue Claudia, Lyon, 69002",Lyon,69002,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/xs-bar/3FrdMk2garn.png,,https://www.facebook.com/XS-BAR-621789481587907/,https://www.instagram.com/xs_bar_lyon,xs-bar@orange.fr,962166992,
La Ruche,Bars,,"22, rue Gentil, 69002 Lyon",Lyon,69002,Auvergne‑Rhône‑Alpes,France,,Popular bar with friendly staff. Great variety of cocktails.,,0,https://www.tinyurl.com/nkpxufw,,,,,fermé
La Loge,Restaurants,,"7, Rue Charles Dullin, Lyon, 69002",Lyon,69002,Auvergne‑Rhône‑Alpes,France,,Bar-restaurant friendly,,https://data.strobomag.com/assets/businesses/la-loge/main.jpg,,https://www.facebook.com/lalogecelestins,,aabbou74@hotmail.com,621356001,
Lyon shibari,Associations,,"140, Rue du Dauphiné, Lyon, 69003",Lyon,69003,Auvergne‑Rhône‑Alpes,France,,"Promotion et popularisation de l'art japonais des nœuds et des cordes, communément appelé ""Shibari""",,https://data.strobomag.com/assets/businesses/lyon-shibari/main.png,https://www.lyonshibari.fr,https://www.facebook.com/lyonshibari,https://www.instagram.com/lyonshibari,,,
CeGIDD Lyon - hôpital Edouard Herriot,Santé & Prévention,,"5 Place d'Arsonval, Pavillon K au RDC, Lyon, 69003",Lyon,69003,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/cegidd-lyon-hopital-edouard-herriot/main.jpg,https://www.chu-lyon.fr/cegidd-hopital-edouard-herriot,,,,472116206,
La Toile,Associations,,"31, Rue de Cuire, Lyon, 69004",Lyon,69004,Auvergne‑Rhône‑Alpes,France,,"Accueil et accompagnement des personnes transgenres, non-binaires et femmes en situation de grande précarité",,https://data.strobomag.com/assets/businesses/la-toile/main.jpg,https://www.helloasso.com/associations/la-toile,https://www.facebook.com/latoile.accueil/,,latoile.accueil@gmail.com,650928122,
CeGIDD Lyon - hôpital de la Croix-Rousse,Santé & Prévention,,"103 Grande Rue de la Croix-Rousse, Lyon, 69004",Lyon,69004,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/cegidd-lyon-hopital-de-la-croix-rousse/main.jpg,https://www.chu-lyon.fr/cegidd-hopital-de-la-croix-rousse,,,,426109473,
Aides Lyon,Associations,,"110 Rue Sully, Lyon, 69006",Lyon,69006,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/aides-lyon/main.jpg,https://www.aides.org,https://www.facebook.com/aidesLyon.valleedurhone/,,aideslyon@aides.org,478680505,
ArcENSiel,Associations,,"15 Parvis René Descartes, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,Association queer et LGBTI de l'ENS de Lyon,,https://data.strobomag.com/assets/businesses/arcensiel/main.jpg,https://www.arcensiel.org,https://www.facebook.com/associationarcensiel,https://www.instagram.com/arcensiel_lyon/,arcensiel.bureau@ens-lyon.fr,,
Cercle Associatif Rhonalpin Omnisport (CARGO),Associations,,"8, Place du Traité de Rome, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,"Cercle Associatif Rhonalpin Gay Omnisport est une association Lyonnaise qui propose la pratique d’activités sportives et culturelles, en loisir ou en compétition dans un esprit d’inclusion et de non-discrimination, notamment pour les personnes LGBTI+.",,https://data.strobomag.com/assets/businesses/cercle-associatif-rhonalpin-omnisport-cargo/main.jpg,https://www.cargolyon.org,https://www.facebook.com/cargolyon,https://www.instagram.com/cargolyonsport/,contact@cargolyon.org,,
Débuteuses,Associations,,"Terrain n°5 de la Plaine des Jeux de Gerland, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/debuteuses/main.jpg,,https://www.facebook.com/lesDebuteuses,https://www.instagram.com/les_debuteuses69,lesdebuteuses@gmail.com,667868928,
Ecrans mixtes,Associations,,"34, Rue Raulin, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,Association organisatrice du festival de cinéma queer de Lyon et de la Métropole,,https://data.strobomag.com/assets/businesses/ecrans-mixtes/main.jpg,https://www.festival-em.org,https://www.facebook.com/ecransmixtes,,contact@ecrans-mixtes.org,,
Les Lyonnasses,Associations,,"20 rue d’Aguesseau, 69007 Lyon",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/les-lyonnasses/main.jpg,https://www.leslyonnasses.fr,https://www.facebook.com/leslyonnasses,,leslyonnasses@gmail.com,,
Mag Lyon,Associations,,"37, Rue d'Anvers, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,"L'association propose du soutien à ces jeunes, des activités de loisirs, de convivialité, ainsi que des activités culturelles et militantes.",,https://data.strobomag.com/assets/businesses/mag-lyon/main.jpg,https://www.mag-jeunes.org,https://www.facebook.com/profile.php?id=100086591632584,,,,
Queer & Care,Associations,,"17, Avenue Félix Faure, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,"Cette association a pour mission d’accueillir les personnes LGBTQIA+ et en questionnement, ainsi que leur entourage. Elle propose spécifiquement aux concerné.e.s en situation de précarité, des accompagnements pluriels, dans un environnement « safe ».",,https://data.strobomag.com/assets/businesses/queer-care/main.jpg,https://www.queerandcare.org,https://www.facebook.com/queerandcare,https://www.instagram.com/queerandcare,contact@queerandcare.org,,
VCGL (Volley Club Gay de Lyon),Associations,,"8, Place du Traité de Rome, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/vcgl-volley-club-gay-de-lyon/main.jpg,https://www.vcgl.fr,https://www.facebook.com/VCGLyon,https://www.instagram.com/volleyball_vcgl_club_lyon,,,
Café Rosa,Bars,,"78 bis, Rue Béchevelin, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,"Lieu de vie féministe, culturel et militant",,https://data.strobomag.com/assets/businesses/cafe-rosa/main.jpg,https://www.linktr.ee/cafe.rosa,https://www.facebook.com/cafe.rosa.lyon,,cafe.rosa.lyon@gmail.com,987145958,
Livestation DIY Lyon,Restaurants,,"14, Rue de Bonald, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/livestation-diy-lyon/main.jpg,https://www.livestationdiy.com,,,lyon@livestationdiy.com,426018739,
Basiliade Lyon,Santé & Prévention,,"9, Place Aristide Briand, Lyon, 69007",Lyon,69007,Auvergne‑Rhône‑Alpes,France,,"Créée en 1993, Basiliade est une association issue de la lutte contre le sida, dont la mission principale est d’accueillir et d’accompagner les personnes en situation de précarité sociale et de santé les plus vulnérables. Accueil sur rendez-vous.",,https://data.strobomag.com/assets/businesses/basiliade-lyon/main.jpg,https://www.basiliade.org/maisons/maisons-lyon,,,contact.lyon@basiliade.org,472009595,
Le Refuge Lyon - Délégation Rhône,Associations,,,Lyon,69009,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/le-refuge-lyon-delegation-rhone/ct1uKjzqp9l.png,,,https://www.instagram.com/lerefugerhone/,,,
Centre de santé et d'éducation sexuelle Lyon,Santé & Prévention,,"15, Rue de Bourgogne, Lyon, 69009",Lyon,69009,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-lyon/main.jpg,https://www.grandlyon.com/centres-sante-et-education-sexuelles-cses,,,,426839610,
Exit,Associations,,"43, Boulevard du 11 novembre 1918, Villeurbanne, 69100",Villeurbanne,69100,Auvergne‑Rhône‑Alpes,France,,association LGBTQ étudiante basée sur le Campus de la Doua à Lyon,,https://data.strobomag.com/assets/businesses/exit/main.jpg,https://www.sassqueer.fr,https://www.facebook.com/exit.lyon/,https://www.instagram.com/exit_lyon/,exitlyon69@gmail.com,,
Les Soeurs de la Perpétuelle Indulgence - Couvent de Lyon,Associations,,"5 rue Gervais Bussière, 69100 Villeurbanne",Villeurbanne,69100,Auvergne‑Rhône‑Alpes,France,,"Association Loi 1901 de lutte contre l'homophobie, les discriminations, de sensibilisation aux mst, dans l'amour, la joie et les paillettes",,https://data.strobomag.com/assets/businesses/les-soeurs-de-la-perpetuelle-indulgence-couvent-de-lyon/CcBcWUNwpR4.jpg,https://www.couventdes69gaules.fr,,,,,
Rita Plage,Restaurants,,"68, Cours Tolstoï, Villeurbanne, 69100",Lyon,69100,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/rita-plage/main.jpg,https://www.rita-plage.com,https://www.facebook.com/profile.php?id=100057411072773,https://www.instagram.com/ritaplage69/,leritaplage@gmail.com,472413329,
Centre de santé et d'éducation sexuelle Rillieux la Pape,Santé & Prévention,,"22, Avenue Général Leclerc, Rillieux-la-Pape, 69140",Lyon,69140,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-rillieux-la-pape/main.jpg,https://www.grandlyon.com/centres-sante-et-education-sexuelles-cses,,,,428672445,
Centr social de l'Orangerie,Santé & Prévention,,"29, Avenue du 11 Novembre 1918, Tassin-la-Demi-Lune, 69160",Lyon,69160,Auvergne‑Rhône‑Alpes,France,,Sur RDV,,https://data.strobomag.com/assets/businesses/centr-social-de-lorangerie/main.jpg,https://www.centresocialdelorangerie.fr/poles/pole-sante,,,,478349875,
CeGIDD Tarare,Santé & Prévention,,"6, Boulevard Garibaldi, Tarare, 69170",Lyon,69170,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/cegidd-tarare/main.jpg,https://www.hno.fr/nos-specialites/centre-gratuit-dinformation-de-depistage-et-de-diagnostic-cegidd,,,,474092827,
Centre départemental de santé et d'éducation sexuelle Tarare,Santé & Prévention,,"6, Rue du Pigeonnier, Tarare, 69170",Tarare,69170,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-tarare/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Rebelyons rugby club,Associations,,"3, Boulevard du Stade, Vénissieux, 69200",Lyon,69200,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/rebelyons-rugby-club/main.jpg,https://www.rebelyons.jimdofree.com,https://www.facebook.com/rebelyons.rugbyclub,,,,
Thinkink fetish,Associations,,"166, Rue du Paradis, Sourcieux-les-Mines, 69210",Lyon,69210,Auvergne‑Rhône‑Alpes,France,,"Organise des événements festifs autour d'une sexualité hard, kink",,https://data.strobomag.com/assets/businesses/thinkink-fetish/main.jpg,https://www.helloasso.com/associations/thinkink,https://www.facebook.com/thinkinkfetish,,thinkinkfrance@gmail.com,,
Centre départemental de santé et d'éducation sexuelle L'Arbresle,Santé & Prévention,,"493, Rue Claude Terrasse, L'Arbresle, 69210",L'Arbresle,69210,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-larbresle/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre départemental de santé et d'éducation sexuelle,Santé & Prévention,,"2, Place de l'Église, Belleville-en-Beaujolais, 69220",Belleville-en-Beaujolais,69220,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre départemental de santé et d'éducation sexuelle Thizy les Bourgs,Santé & Prévention,,"27, Rue Perrin Frères, Thizy-les-Bourgs, 69240",Thizy-les-Bourgs,69240,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-thizy-les-bourgs/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre de santé et d'éducation sexuelle Neuville sur Saône,Santé & Prévention,,"2, Avenue Marie-Thérèse Prost, Neuville-sur-Saône, 69250",Lyon,69250,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-neuville-sur-saone/main.jpg,https://www.grandlyon.com/centres-sante-et-education-sexuelles-cses,,,,428672454,
Centre départemental de santé et d'éducation sexuelle Villefranche sur Saône,Santé & Prévention,,"160, Rue Monplaisir, Villefranche-sur-Saône, 69400",Villefranche-sur-Saône,69400,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-villefranche-sur-saone/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre de santé et d'éducation sexuelle Condrieu,Santé & Prévention,,"1, Place des Droits de l'Homme, Condrieu, 69420",Lyon,69420,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-condrieu/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre départemental de santé et d'éducation sexuelle Mornant,Santé & Prévention,,"50, Avenue du Pays Mornantais, Mornant, 69440",Mornant,69440,Auvergne‑Rhône‑Alpes,France,,Sur RDV,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-mornant/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre de santé et d'éducation sexuelle Bron,Santé & Prévention,,"52, Rue Marcel Bramet, Bron, 69500",Lyon,69500,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-bron/main.jpg,https://www.grandlyon.com/centres-sante-et-education-sexuelles-cses,,,,428672568,
Centre départemental de santé et d'éducation sexuelle Saint Symphorien sur Coise,Santé & Prévention,,"57, Rue des Tanneries, Saint-Symphorien-sur-Coise, 69590",Saint-Symphorien-sur-Coise,69590,Auvergne‑Rhône‑Alpes,France,,Sur RDV,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-saint-symphorien-sur-coise/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
Centre de santé et d'éducation sexuelle Oullins,Santé & Prévention,,"198, Grande Rue, Oullins-Pierre-Bénite, 69600",Lyon,69600,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-oullins/main.jpg,https://www.grandlyon.com/centres-sante-et-education-sexuelles-cses,,,,428673223,
Centre de santé sexuelle Lyon Sud,Santé & Prévention,,"Rue du Grand Revoyet, Bâtiment 3B, 2ème étage, Oullins-Pierre-Bénite, 69600",Lyon,69600,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-lyon-sud/main.jpg,https://www.chu-lyon.fr/planning-familial,,,,426739624,
CeGIDD Villefranche,Santé & Prévention,,"Plateau d'Ouilly Gleizé, Villefranche-sur-Saône, 69655",Lyon,69655,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/cegidd-villefranche/main.jpg,https://www.hno.fr/nos-specialites/centre-gratuit-dinformation-de-depistage-et-de-diagnostic-cegidd,,,,474092827,
Centre de santé et d'éducation sexuelle Givors,Santé & Prévention,,"9, Avenue du Professeur Fleming, Givors, 69700",Lyon,69700,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-et-deducation-sexuelle-givors/main.jpg,https://www.ch-givors.fr/index605a.html,,,,478073051,
Centre départemental de santé et d'éducation sexuelle Genas,Santé & Prévention,,"2, Rue Louis Rey, Genas, 69740",Genas,69740,Auvergne‑Rhône‑Alpes,France,,,,https://data.strobomag.com/assets/businesses/centre-departemental-de-sante-et-deducation-sexuelle-genas/main.jpg,https://www.rhone.fr/jcms/pl01_2129656/fr/cdses-centre-departemental-de-sante-et-d-education-sexuelle,,,,969369369,
CeGIDD Vesoul,Santé & Prévention,,"2, rue Heymès, Vesoul, 70000",Vesoul,70000,Bourgogne‑Franche‑Comté,France,,Sur RDV,,https://data.strobomag.com/assets/businesses/cegidd-vesoul/main.jpg,https://www.gh70.fr/l-hopital/le-cegidd,,,cegidd@gh70.fr,384966123,
CeGIDD Mâcon,Santé & Prévention,,"350, Boulevard Louis Escande, Mâcon, 71000",Mâcon,71000,Bourgogne‑Franche‑Comté,France,,"Rez de chaussée du Centre ambulatoire, en direction des consultations de médecine (fléchage vert)",,https://data.strobomag.com/assets/businesses/cegidd-macon-1/main.jpg,https://www.ch-macon.fr/patients-usagers/services/cegidd,,,,385277239,
Centre de santé sexuelle Mâcon,Santé & Prévention,,"8, Rue des Anémones, Mâcon, 71000",Mâcon,71000,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-macon/main.jpg,https://www.lepas-sudbourgogne.fr/consultations-medicales-et-psychosociales-sante-sexuelle-planification-familiale,,,,385391400,
Rainbow,Associations,,"13, Place Thévenin, Chalon-sur-Saône, 71100",Chalon-sur-Saône,71100,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/rainbow/main.jpg,https://www.rainbow-association71.e-monsite.com,https://www.facebook.com/association.rainbow/,https://www.instagram.com/asso_rainbow_71/,rainbowasso.chalon@gmail.com,610745589,
Les Templiers,Bars,,"9 Place Saint Jean de Maizel, Chalon-sur-Saône",Chalon-sur-Saône,71100,Bourgogne‑Franche‑Comté,France,,,,0,https://www.facebook.com/BarClubLesTempliers,https://www.facebook.com/BarClubLesTempliers,,,33385480979,
CeGIDD Chalon-sur-Saône,Santé & Prévention,,"4 rue Capitaine Drillien, Chalon-sur-Saône, 71100",Chalon-sur-Saône,71100,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/cegidd-chalon-sur-saone/main.jpg,https://www.ch-chalon71.fr/service/centre-gratuit-dinformation-de-depistage-et-de-diagnosticcegidd,,,,385910057,
Centre de santé sexuelle Le Creusot,Santé & Prévention,,"175, Rue du Maréchal Foch, Le Creusot, 71200",Le Creusot,71200,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-le-creusot/main.jpg,https://www.saoneetloire.fr/guide-des-aides/centres-de-sante-sexuelle,,,,385787242,
Cluny Queer,Associations,,"26, Rue de la Chanaise, Cluny, 71250",Cluny,71250,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/cluny-queer/main.jpg,https://www.clunyqueer.fr,https://www.facebook.com/profile.php?id=61568779457645,https://www.instagram.com/cluny_queer/,,,
Centre de santé sexuelle (centre hospitalier) Montceau les Mines,Santé & Prévention,,"Rue de Saint-Vallier, Montceau-les-Mines, 71300",Montceau-les-Mines,71300,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-centre-hospitalier-montceau-les-mines/main.jpg,,,,,385676580,
Centre de santé sexuelle Montceau les Mines,Santé & Prévention,,"8, Rue François Mitterrand, Montceau-les-Mines, 71300",Montceau-les-Mines,71300,Bourgogne‑Franche‑Comté,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-montceau-les-mines/main.jpg,,,,,385676580,
